Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
35	resveillé	RÉVEILLER	RÉVEILLER	PAGe		VM/DS																												RÉVEILLER																										
36	Au	A+LE	A+LE	S+Da		VM/DS									À+LE																											À+LE		A+LE																
37	premier	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER																														PREMIER	
38	somme	SOMME	SOMME	Nc		VM/DS																							SOMME																															
39	0	0	0	Fw		VM/DS																					0																																	
40	et	ET	ET	Cc		VM/DS							ET																																															
41	fort	FORT	FORT	R		VM/DS					FORT																														FORT																			
42	esmerveillé	ÉMERVEILLER	ÉMERVEILLER	PAGe		VM/DS																												ÉMERVEILLER																										
43	Oyant	OUÏR	OUÏR	PAGa		VM/DS																											OUÏR																											
44	0	0	0	Fw		VM/DS																					0																																	
45	*Philerme	PHILERME	PHILERME	Np		VM/DS																								PHILERME																														
46	0	0	0	Fw		VM/DS																					0																																	
47	une	UN	UN	Di		VM/DS												UN	UN																																									
48	voix	VOIX	VOIX	Nc		VM/DS																							VOIX																															
49	long	LONG	LONG	Aq		VM/DS					LONG																																																	
50	temps	TEMPS	TEMPS	Nc		VM/DS																							TEMPS																															
51	plaindre	PLAINDRE	PLAINDRE	Vvn		VM/DS																																														PLAINDRE								
52	Piteusement	PITEUSEMENT	PITEUSEMENT	R		VM/DS																																			PITEUSEMENT																			
53	0	0	0	Fw		VM/DS																					0																																	
54	&	ET	ET	Cc		VM/DS							ET																																															
55	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
56	sans	SANS	SANS	S		VM/DS																																				SANS																		
57	point	POINT	POINT	R		VM/DS																																			POINT																			
58	se	LE	LE	Pp		VM/DS																															LE																							
59	feindre	FEINDRE	FEINDRE	Vvn		VM/DS																																														FEINDRE								
60	Se	LE	LE	Pp		VM/DS																															LE																							
61	lamentant	LAMENTER	LAMENTER	PAGa		VM/DS																											LAMENTER																											
62	monstroit	MONTRER	MONTRER	Vvc		VM/DS																																													MONTRER									
63	par	PAR	PAR	S		VM/DS																																				PAR																		
64	sa	SON	SON	Ds		VM/DS																SON																																						
65	complainte	COMPLAINTE	COMPLAINTE	Nc		VM/DS																							COMPLAINTE																															
66	Une	UN	UN	Di		VM/DS												UN	UN																																									
67	ame	ÂME	ÂME	Nc		VM/DS																							ÂME																															
68	triste	TRISTE	TRISTE	Aq		VM/DS					TRISTE																																																	
69	0	0	0	Fw		VM/DS																					0																																	
70	&	ET	ET	Cc		VM/DS							ET																																															
71	de	DE	DE	S		VM/DS													UN	DU																						DE																		
72	douleur	DOULEUR	DOULEUR	Nc		VM/DS																							DOULEUR																															
73	attainte	ATTEINDRE	ATTEINDRE	PAGe		VM/DS																							ATTEINTE/ATTENTE/ATTEINTE					ATTEINDRE																	ATTENTER/ATTEINDRE/ATTENDRE									
74	.	.	.	Fs		VM/DS																				.																																		
75	Je	IL	IL	Pp		VM/DS																															IL																							
76	ne	NE	NE	R		VM/DS																																			NE																			
77	povois	POUVOIR	POUVOIR	Vvc		VM/DS																							PAVOIS																						POUVOIR									
78	en	EN	EN	S		VM/DS																															EN					EN													EN					
79	sommeillant	SOMMEILLER	SOMMEILLER	PAGa		VM/DS																											SOMMEILLER																											
80	comprendre	COMPRENDRE	COMPRENDRE	Vvn		VM/DS																																														COMPRENDRE								
81	0	0	0	Fw		VM/DS																					0																																	
82	Que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
83	ce	CELUI	CELUI	Pd		VM/DS											CE																		CELUI		CE																							
84	fust	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
85	toy	LE	LE	Pp		VM/DS																															LE																							
86	0	0	0	Fw		VM/DS																					0																																	
87	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
88	le	LE	LE	Pp		VM/DS										LE																					LE																							
89	m'	LE	LE	Pp		VM/DS																															LE																							
90	as	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
91	fait	FAIRE	FAIRE	PAGe		VM/DS																												FAIRE																	FAIRE									
92	entendre	ENTENDRE	ENTENDRE	Vvn		VM/DS																																														ENTENDRE								
93	Par	PAR	PAR	S		VM/DS																																				PAR																		
94	tant	TANT	TANT	R		VM/DS																																			TANT																			
95	de	DE	DE	S		VM/DS													UN	DU																						DE																		
96	fois	FOIS	FOIS	Nc		VM/DS																							FOIS																															
97	:	:	:	Fw		VM/DS																					:																																	
98	si	SI	SI	R		VM/DS								SI																											SI																			
99	bien	BIEN	BIEN	R		VM/DS																																			BIEN																			
100	j'	IL	IL	Pp		VM/DS																															IL																							
101	eusse	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
102	ouvert	OUVRIR	OUVRIR	PAGe		VM/DS																							OUVERT					OUVRIR																										
103	l'	LE	LE	Da		VM/DS										LE																					LE																							
104	oeil	IL	IL	Nc		VM/DS																							IL																															
105	0	0	0	Fw		VM/DS																					0																																	
106	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
107	m'	LE	LE	Pp		VM/DS																															LE																							
108	es	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
109	congnu	CONNAÎTRE	CONNAÎTRE	PAGe		VM/DS																							CONNU					CONNAÎTRE																										
110	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
111	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
112	à	À	À	S		VM/DS																																				À																		
113	toy	LE	LE	Pp		VM/DS																															LE																							
114	ce	CE	CE	Dd		VM/DS											CE																				CE																							
115	Soleil	SOLEIL	SOLEIL	Nc		VM/DS																							SOLEIL																															
116	.	.	.	Fs		VM/DS																				.																																		
117	Et	ET	ET	Cc		VM/DS							ET																																															
118	mesmement	MÊMEMENT	MÊMEMENT	R		VM/DS																																			MÊMEMENT																			
119	dès	DÈS	DÈS	S		VM/DS																																				DÈS																		
120	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
121	tu	IL	IL	Pp		VM/DS																															IL																							
122	soulois	SOULOIR	SOULOIR	Vvc		VM/DS																																													SOULOIR									
123	paistre	PAÎTRE	PAÎTRE	Vvn		VM/DS																																														PAÎTRE								
124	Sur	SUR	SUR	S		VM/DS					SUR/SÛR																														SÛR	SUR																		
125	la	LE	LE	Da		VM/DS										LE																					LE																							
126	montaigne	MONTAGNE	MONTAGNE	Nc		VM/DS																							MONTAGNE																															
127	0	0	0	Fw		VM/DS																					0																																	
128	&	ET	ET	Cc		VM/DS							ET																																															
129	non	NON	NON	R		VM/DS																																			NON																			
130	en	EN	EN	S		VM/DS																															EN					EN													EN					
131	ce	CE	CE	Dd		VM/DS											CE																				CE																							
132	champestre	CHAMPÊTRE	CHAMPÊTRE	Aq		VM/DS					CHAMPÊTRE																																																	
133	Lieu	LIEU	LIEU	Nc		VM/DS																							LIEU																															
134	solitaire	SOLITAIRE	SOLITAIRE	Aq		VM/DS					SOLITAIRE																																																	
135	0	0	0	Fw		VM/DS																					0																																	
136	ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
137	la	LE	LE	Da		VM/DS										LE																					LE																							
138	Saulsaye	SAUSSAIE	SAUSSAIE	Nc		VM/DS																							SAUSSAIE																															
139	espaisse	ÉPAIS	ÉPAIS	Aq		VM/DS					ÉPAIS																																																	
140	Soubs	SOUS	SOUS	S		VM/DS																																				SOUS																		
141	doulce	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
142	horreur	HORREUR	HORREUR	Nc		VM/DS																							HORREUR																															
143	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
144	de	DE	DE	S		VM/DS													UN	DU																						DE																		
145	mort	MORT	MORT	Nc		VM/DS																							MORT																															
146	une	UN	UN	Di		VM/DS												UN	UN																																									
147	espece	ESPÈCE	ESPÈCE	Nc		VM/DS																							ESPÈCE																															
148	0	0	0	Fw		VM/DS																					0																																	
149	Ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
150	nul	NUL	NUL	Pi		VM/DS					NUL											SON														NUL																								
151	(	(	(	Fw		VM/DS																			(		(																																	
152	fors	FORS	FORS	S		VM/DS					FORT																		FOR/FORT													FORS																		
153	toy	LE	LE	Pp		VM/DS																															LE																							
154	0	0	0	Fw		VM/DS																					0																																	
155	&	ET	ET	Cc		VM/DS							ET																																															
156	tout	TOUT	TOUT	Di		VM/DS			TOUT									TOUT																		TOUT																								
157	desespoir	DÉSESPOIR	DÉSESPOIR	Nc		VM/DS																							DÉSESPOIR																															
158	)	)	)	Fw		VM/DS																			)		)																																	
159	vient	VENIR	VENIR	Vvc		VM/DS																																													VENIR									
160	.	.	.	Fs		VM/DS																				.																																		
161	Car	CAR	CAR	Cc		VM/DS							CAR																CAR																															
162	je	IL	IL	Pp		VM/DS																															IL																							
163	t'	LE	LE	Pp		VM/DS																															LE																							
164	ay	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
165	veu	VOIR	VOIR	PAGe		VM/DS																												VOIR																										
166	(	(	(	Fw		VM/DS																			(		(																																	
167	&	ET	ET	Cc		VM/DS							ET																																															
168	tresbien	TRÈS BIEN	TRÈS BIEN	E		VM/DS																		TRÈS BIEN					BIEN/BIAN																															
169	m'	LE	LE	Pp		VM/DS																															LE																							
170	en	LE	LE	Pp		VM/DS																															LE					EN													EN					
171	souvient	SOUVENIR	SOUVENIR	Vvc		VM/DS																																													SOUVENIR									
172	)	)	)	Fw		VM/DS																			)		)																																	
173	Quand	QUAND	QUAND	Cs		VM/DS								QUAND																																														
174	tu	IL	IL	Pp		VM/DS																															IL																							
175	suyvois	SUIVRE	SUIVRE	Vvc		VM/DS																																													SUIVRE									
176	Doris	DORIS	DORIS	Np		VM/DS																							DORIS	DORIS																														
177	la	LE	LE	Da		VM/DS										LE																					LE																							
178	camusette	CAMUSETTE	CAMUSETTE	Nc		VM/DS																							CAMUSETTE																															
179	0	0	0	Fw		VM/DS																					0																																	
180	Tout	TOUT	TOUT	Di		VM/DS												TOUT											TOUT																															
181	ententif	ENTENTIF	ENTENTIF	Aq		VM/DS					ENTENTIF																																																	
182	au	A+LE	A+LE	S+Da		VM/DS																																				À+LE		A+LE																
183	son	SON	SON	Nc		VM/DS																							SON																															
184	de	DE	DE	S		VM/DS													UN	DU																						DE																		
185	ta	SON	SON	Ds		VM/DS																SON																																						
186	musette	MUSETTE	MUSETTE	Nc		VM/DS																							MUSETTE																															
187	0	0	0	Fw		VM/DS																					0																																	
188	Dont	QUE	QUE	Pr		VM/DS																																QUE																						
189	tu	IL	IL	Pp		VM/DS																															IL																							
190	faisois	FAIRE	FAIRE	Vvc		VM/DS																																													FAIRE									
191	resonner	RÉSONNER	RÉSONNER	Vvn		VM/DS																																														RÉSONNER								
192	la	LE	LE	Da		VM/DS										LE																					LE																							
193	valee	VALLÉE	VALLÉE	Nc		VM/DS																							VALLÉE																															
194	.	.	.	Fs		VM/DS																				.																																		
195	Ores	ORES	ORES	R		VM/DS																																			ORES																			
196	tout	TOUT	TOUT	S		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
197	morne	MORNE	MORNE	Nc		VM/DS																							MORNE																															
198	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
199	chere	CHÈRE	CHÈRE	Nc		VM/DS					CHER																		CHÈRE																													CENT		
200	avalee	AVALER	AVALER	PAGe		VM/DS																												AVALER																										
201	0	0	0	Fw		VM/DS																					0																																	
202	La	LE	LE	Da		VM/DS										LE													LA								LE				LÀ																			
203	barbe	BARBE	BARBE	Nc		VM/DS																							BARBE																						BARBER									
204	longue	LONG	LONG	Aq		VM/DS					LONG																																																	
205	0	0	0	Fw		VM/DS																					0																																	
206	&	ET	ET	Cc		VM/DS							ET																																															
207	les	LE	LE	Da		VM/DS										LE																					LE																							
208	cheveux	CHEVEU	CHEVEU	Nc		VM/DS																							CHEVEU																															
209	sans	SANS	SANS	S		VM/DS																																				SANS																		
210	ordre	ORDRE	ORDRE	Nc		VM/DS																							ORDRE																															
211	0	0	0	Fw		VM/DS																					0																																	
212	Je	IL	IL	Pp		VM/DS																															IL																							
213	ne	NE	NE	R		VM/DS																																			NE																			
214	te	LE	LE	Pp		VM/DS																															LE																							
215	voy	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
216	fors	FORS	FORS	S		VM/DS					FORT																		FOR/FORT													FORS																		
217	bras	BRAS	BRAS	Nc		VM/DS																							BRAS																															
218	&	ET	ET	Cc		VM/DS							ET																																															
219	mains	MAIN	MAIN	Nc		VM/DS																							MAIN																															
220	destordre	DÉTORDRE	DÉTORDRE	Vvn		VM/DS																							DÉTORDRE																							DÉTORDRE								
221	A	À	À	S		VM/DS																																				À																		
222	basse	BAS	BAS	Aq		VM/DS					BAS																																																	
223	voix	VOIX	VOIX	Nc		VM/DS																							VOIX																															
224	0	0	0	Fw		VM/DS																					0																																	
225	&	ET	ET	Cc		VM/DS							ET																																															
226	mots	MOT	MOT	Nc		VM/DS																							MOT																															
227	entrecouppez	ENTRECOUPER	ENTRECOUPER	PAGe		VM/DS																												ENTRECOUPER																	ENTRECOUPER									
228	De	DE	DE	S		VM/DS													UN	DU																						DE																		
229	maints	MAINT	MAINT	Di		VM/DS					MAINT							MAINT																																										
230	souspirs	SOUPIR	SOUPIR	Nc		VM/DS																							SOUPIR																															
231	par	PAR	PAR	S		VM/DS																																				PAR																		
232	sanglots	SANGLOT	SANGLOT	Nc		VM/DS																							SANGLOT																															
233	sincopez	SYNCOPER	SYNCOPER	PAGe		VM/DS																												SYNCOPER																	SYNCOPER									
234	0	0	0	Fw		VM/DS																					0																																	
235	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
236	(	(	(	Fw		VM/DS																			(		(																																	
237	tout	TOUT	TOUT	S		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
238	ainsi	AINSI	AINSI	R		VM/DS								AINSI																											AINSI																			
239	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
240	en	EN	EN	S		VM/DS																															EN					EN													EN					
241	estroite	ÉTROIT	ÉTROIT	Aq		VM/DS					ÉTROIT																																																	
242	fornaise	FOURNAISE	FOURNAISE	Nc		VM/DS																							FOURNAISE																															
243	On	IL	IL	Pp		VM/DS																															IL																							
244	voit	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
245	grand	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
246	feu	FEU	FEU	Nc		VM/DS					FEU																		FEU																															
247	sortir	SORTIR	SORTIR	Vvn		VM/DS																							SORTIR																							SORTIR								
248	mal	MAL	MAL	R		VM/DS					MAL																		MAL												MAL																			
249	à	À	À	S		VM/DS																																				À																		
250	son	SON	SON	Ds		VM/DS																SON																																						
251	ayse	AISE	AISE	Nc		VM/DS					AISE/AISÉ																		AISE																															
252	)	)	)	Fw		VM/DS																			)		)																																	
253	Dedens	DEDANS	DEDANS	S		VM/DS																							DEDANS/DÉDAIN/DENT/ÉDEN													DEDANS												_MOT_ETRANGER						
254	ta	SON	SON	Ds		VM/DS																SON																																						
255	bouche	BOUCHE	BOUCHE	Nc		VM/DS																							BOUCHE																															
256	ensemble	ENSEMBLE	ENSEMBLE	R		VM/DS																							ENSEMBLE												ENSEMBLE																			
257	s'	LE	LE	Pp		VM/DS																															LE																							
258	entrebattent	ENTREBATTRE	ENTREBATTRE	Vvc		VM/DS																																													ENTREBATTRE									
259	:	:	:	Fw		VM/DS																					:																																	
260	Voire	VOIRE	VOIRE	R		VM/DS							VOIRE																												VOIRE																			
261	0	0	0	Fw		VM/DS																					0																																	
262	&	ET	ET	Cc		VM/DS							ET																																															
263	de	DE	DE	S		VM/DS													UN	DU																						DE																		
264	sorte	SORTE	SORTE	Nc		VM/DS																							SORTE																															
265	entre	ENTRE	ENTRE	S		VM/DS																																				ENTRE																		
266	eux	LE	LE	Pp		VM/DS																															LE																							
267	ilz	IL	IL	Pp		VM/DS																															IL																							
268	se	LE	LE	Pp		VM/DS																															LE																							
269	debattent	DÉBATTRE	DÉBATTRE	Vvc		VM/DS																																													DÉBATTRE									
270	0	0	0	Fw		VM/DS																					0																																	
271	Qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE			QUE																			
272	on	IL	IL	Pp		VM/DS																															IL																							
273	te	LE	LE	Pp		VM/DS																															LE																							
274	diroit	DIRE	DIRE	Vvc		VM/DS																																													DIRE									
275	0	0	0	Fw		VM/DS																					0																																	
276	non	NON	NON	R		VM/DS																																			NON																			
277	en	EN	EN	S		VM/DS																															EN					EN													EN					
278	le	LE	LE	Da		VM/DS										LE																					LE																							
279	recitant	RÉCITER	RÉCITER	PAGa		VM/DS																							RÉCITANT				RÉCITER																											
280	0	0	0	Fw		VM/DS																					0																																	
281	Mais	MAIS	MAIS	Cc		VM/DS							MAIS																MAI/MAÏS																															
282	à	À	À	S		VM/DS																																				À																		
283	te	LE	LE	Pp		VM/DS																															LE																							
284	voir	VOIR	VOIR	Vvn		VM/DS																																														VOIR								
285	0	0	0	Fw		VM/DS																					0																																	
286	quelque	QUELQUE	QUELQUE	Di		VM/DS					QUELQUE							QUELQUE																																										
287	febricitant	FÉBRICITANT	FÉBRICITANT	Nc		VM/DS																							FÉBRICITANT																									_MOT_ETRANGER						
288	0	0	0	Fw		VM/DS																					0																																	
289	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
290	à	À	À	S		VM/DS																																				À																		
291	sa	SON	SON	Ds		VM/DS																SON																																						
292	fin	FIN	FIN	Nc		VM/DS																							FIN																															
293	douloureusement	DOULOUREUSEMENT	DOULOUREUSEMENT	R		VM/DS																																			DOULOUREUSEMENT																			
294	tire	TIRER	TIRER	Vvc		VM/DS																							TIRE/TIRÉ																						TIRER									
295	.	.	.	Fs		VM/DS																				.																																		
296	*PHILERME	PHILERME	PHILERME	Np		VM/DS																								PHILERME																														
297	O	Ô	Ô	I		VM/DS																						Ô																																
298	fortuné	FORTUNÉ	FORTUNÉ	Aq		VM/DS					FORTUNÉ																																																	
299	0	0	0	Fw		VM/DS																					0																																	
300	&	ET	ET	Cc		VM/DS							ET																																															
301	bienheureux	BIENHEUREUX	BIENHEUREUX	Aq		VM/DS					BIENHEUREUX																																																	
302	*Antire	ANTIRE	ANTIRE	Np		VM/DS																								ANTIRE																														
303	0	0	0	Fw		VM/DS																					0																																	
304	Depuis	DEPUIS	DEPUIS	S		VM/DS																																				DEPUIS																		
305	*Doris	DORIS	DORIS	Np		VM/DS																								DORIS																														
306	0	0	0	Fw		VM/DS																					0																																	
307	ma	SON	SON	Ds		VM/DS																SON																																						
308	premiere	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER/PREMIÈRE																														PREMIER	
309	liesse	LIESSE	LIESSE	Nc		VM/DS																							LIESSE																															
310	0	0	0	Fw		VM/DS																					0																																	
311	Ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
312	je	IL	IL	Pp		VM/DS																															IL																							
313	passay	PASSER	PASSER	Vvc		VM/DS																																													PASSER									
314	sans	SANS	SANS	S		VM/DS																																				SANS																		
315	ennuy	ENNUI	ENNUI	Nc		VM/DS																							ENNUI																															
316	ma	SON	SON	Ds		VM/DS																SON																																						
317	jeunesse	JEUNESSE	JEUNESSE	Nc		VM/DS																							JEUNESSE																															
318	0	0	0	Fw		VM/DS																					0																																	
319	Je	IL	IL	Pp		VM/DS																															IL																							
320	me	LE	LE	Pp		VM/DS																															LE																							
321	perdis	PERDRE	PERDRE	Vvc		VM/DS																																													PERDRE									
322	en	EN	EN	S		VM/DS																															EN					EN													EN					
323	ceste	CE	CE	Dd		VM/DS											CE												CESTE																															
324	autre	AUTRE	AUTRE	Ai		VM/DS			AUTRE		AUTRE																																																	
325	Belline	BELLINE	BELLINE	Np		VM/DS																							BERLINE/BAILLI	BELLINE																														
326	0	0	0	Fw		VM/DS																					0																																	
327	A	À	À	S		VM/DS																																				À																		
328	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
329	mon	SON	SON	Ds		VM/DS																SON																																						
330	ame	ÂME	ÂME	Nc		VM/DS																							ÂME																															
331	0	0	0	Fw		VM/DS																					0																																	
332	&	ET	ET	Cc		VM/DS							ET																																															
333	ma	SON	SON	Ds		VM/DS																SON																																						
334	vie	VIE	VIE	Nc		VM/DS																							VIE																															
335	s'	LE	LE	Pp		VM/DS																															LE																							
336	incline	INCLINER	INCLINER	Vvc		VM/DS																																													INCLINER									
337	0	0	0	Fw		VM/DS																					0																																	
338	M'	LE	LE	Pp		VM/DS																															LE																							
339	asservissant	ASSERVIR	ASSERVIR	PAGa		VM/DS					ASSERVISSANT																						ASSERVIR																											
340	soubs	SOUS	SOUS	S		VM/DS																																				SOUS																		
341	celle	CE	CE	Dd		VM/DS											CE																		CELUI																									
342	grand'	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
343	beauté	BEAUTÉ	BEAUTÉ	Nc		VM/DS																							BEAUTÉ																															
344	0	0	0	Fw		VM/DS																					0																																	
345	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
346	cele	CELER	CELER	Vvc		VM/DS																												CELER	CELUI																CELER									
347	en	EN	EN	S		VM/DS																															EN					EN													EN					
348	soy	LE	LE	Pp		VM/DS																															LE																							
349	la	LE	LE	Da		VM/DS										LE																					LE																							
350	douce	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
351	cruauté	CRUAUTÉ	CRUAUTÉ	Nc		VM/DS																							CRUAUTÉ																															
352	0	0	0	Fw		VM/DS																					0																																	
353	Ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
354	me	LE	LE	Pp		VM/DS																															LE																							
355	nourrit	NOURRIR	NOURRIR	Vvc		VM/DS																																													NOURRIR									
356	ce	CE	CE	Dd		VM/DS											CE																				CE																							
357	jeune	JEUNE	JEUNE	Aq		VM/DS					JEUNE																																																	
358	Enfant	ENFANT	ENFANT	Nc		VM/DS																							ENFANT																															
359	aveugle	AVEUGLE	AVEUGLE	Aq		VM/DS					AVEUGLE																		AVEUGLE																															
360	:	:	:	Fw		VM/DS																					:																																	
361	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
362	tellement	TELLEMENT	TELLEMENT	R		VM/DS																																			TELLEMENT																			
363	nous	LE	LE	Pp		VM/DS																															LE																							
364	0	0	0	Fw		VM/DS																					0																																	
365	ses	SON	SON	Ds		VM/DS																SON																																						
366	amans	AMANT	AMANT	Nc		VM/DS																							AMANT																															
367	0	0	0	Fw		VM/DS																					0																																	
368	aveugle	AVEUGLER	AVEUGLER	Vvc		VM/DS					AVEUGLE																		AVEUGLE																						AVEUGLER									
369	0	0	0	Fw		VM/DS																					0																																	
370	Que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
371	par	PAR	PAR	S		VM/DS																																				PAR																		
372	rigueur	RIGUEUR	RIGUEUR	Nc		VM/DS																							RIGUEUR																															
373	0	0	0	Fw		VM/DS																					0																																	
374	qu'	QUE	QUE	Pr		VM/DS								QUE																						QUE		QUE			QUE																			
375	on	IL	IL	Pp		VM/DS																															IL																							
376	nous	LE	LE	Pp		VM/DS																															LE																							
377	tient	TENIR	TENIR	Vvc		VM/DS																																													TENIR									
378	0	0	0	Fw		VM/DS																					0																																	
379	nous	LE	LE	Pp		VM/DS																															LE																							
380	attire	ATTIRER	ATTIRER	Vvc		VM/DS																																													ATTIRER									
381	Trop	TROP	TROP	R		VM/DS																																			TROP																			
382	voulenteux	VOLENTEUX	VOLENTEUX	Aq		VM/DS					VOLENTEUX																																																	
383	à	À	À	S		VM/DS																																				À																		
384	tout	TOUT	TOUT	Di		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
385	aspre	ÂPRE	ÂPRE	Aq		VM/DS					ÂPRE																																																	
386	martyre	MARTYRE	MARTYRE	Nc		VM/DS																							MARTYRE																															
387	.	.	.	Fs		VM/DS																				.																																		
388	Quoy	QUOI	QUOI	Pr		VM/DS																																QUOI		QUOI																				
