	Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
173	174	tu	IL	IL	PROper		VM/DS																															IL																							
174	175	suyvois	SUIVRE	SUIVRE	Vvc		VM/DS																																													SUIVRE									
175	176	Doris	DORIS	DORIS	NOMpro		VM/DS																							DORIS	DORIS																														
176	177	la	LE	LE	DETdef		VM/DS										LE																					LE																							
177	178	camusette	CAMUSETTE	CAMUSETTE	NOMcom		VM/DS																							CAMUSETTE																															
178	179	0	0	0	PONfbl		VM/DS																					0																																	
179	180	Tout	TOUT	TOUT	DETind		VM/DS												TOUT											TOUT																															
180	181	ententif	ENTENTIF	ENTENTIF	Aq		VM/DS					ENTENTIF																																																	
181	182	au	A+LE	A+LE	S+Da		VM/DS																																				À+LE		A+LE																
182	183	son	SON	SON	NOMcom		VM/DS																							SON																															
183	184	de	DE	DE	S		VM/DS													UN	DU																						DE																		
184	185	ta	SON	SON	DETpos		VM/DS																SON																																						
185	186	musette	MUSETTE	MUSETTE	NOMcom		VM/DS																							MUSETTE																															
186	187	0	0	0	PONfbl		VM/DS																					0																																	
187	188	Dont	QUE	QUE	PROrel		VM/DS																																QUE																						
188	189	tu	IL	IL	PROper		VM/DS																															IL																							
189	190	faisois	FAIRE	FAIRE	Vvc		VM/DS																																													FAIRE									
190	191	resonner	RÉSONNER	RÉSONNER	Vvn		VM/DS																																														RÉSONNER								
191	192	la	LE	LE	DETdef		VM/DS										LE																					LE																							
192	193	valee	VALLÉE	VALLÉE	NOMcom		VM/DS																							VALLÉE																															
193	194	.	.	.	PONfrt		VM/DS																				.																																		
194	195	Ores	ORES	ORES	R		VM/DS																																			ORES																			
195	196	tout	TOUT	TOUT	S		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
196	197	morne	MORNE	MORNE	NOMcom		VM/DS																							MORNE																															
197	198	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
198	199	chere	CHÈRE	CHÈRE	NOMcom		VM/DS					CHER																		CHÈRE																													CENT		
199	200	avalee	AVALER	AVALER	PAGe		VM/DS																												AVALER																										
200	201	0	0	0	PONfbl		VM/DS																					0																																	
201	202	La	LE	LE	DETdef		VM/DS										LE													LA								LE				LÀ																			
202	203	barbe	BARBE	BARBE	NOMcom		VM/DS																							BARBE																						BARBER									
203	204	longue	LONG	LONG	Aq		VM/DS					LONG																																																	
204	205	0	0	0	PONfbl		VM/DS																					0																																	
205	206	&	ET	ET	CONcoo		VM/DS							ET																																															
206	207	les	LE	LE	DETdef		VM/DS										LE																					LE																							
207	208	cheveux	CHEVEU	CHEVEU	NOMcom		VM/DS																							CHEVEU																															
208	209	sans	SANS	SANS	S		VM/DS																																				SANS																		
209	210	ordre	ORDRE	ORDRE	NOMcom		VM/DS																							ORDRE																															
210	211	0	0	0	PONfbl		VM/DS																					0																																	
211	212	Je	IL	IL	PROper		VM/DS																															IL																							
212	213	ne	NE	NE	R		VM/DS																																			NE																			
213	214	te	LE	LE	PROper		VM/DS																															LE																							
214	215	voy	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
215	216	fors	FORS	FORS	S		VM/DS					FORT																		FOR/FORT													FORS																		
216	217	bras	BRAS	BRAS	NOMcom		VM/DS																							BRAS																															
217	218	&	ET	ET	CONcoo		VM/DS							ET																																															
218	219	mains	MAIN	MAIN	NOMcom		VM/DS																							MAIN																															
219	220	destordre	DÉTORDRE	DÉTORDRE	Vvn		VM/DS																							DÉTORDRE																							DÉTORDRE								
220	221	A	À	À	S		VM/DS																																				À																		
221	222	basse	BAS	BAS	Aq		VM/DS					BAS																																																	
222	223	voix	VOIX	VOIX	NOMcom		VM/DS																							VOIX																															
223	224	0	0	0	PONfbl		VM/DS																					0																																	
224	225	&	ET	ET	CONcoo		VM/DS							ET																																															
225	226	mots	MOT	MOT	NOMcom		VM/DS																							MOT																															
226	227	entrecouppez	ENTRECOUPER	ENTRECOUPER	PAGe		VM/DS																												ENTRECOUPER																	ENTRECOUPER									
227	228	De	DE	DE	S		VM/DS													UN	DU																						DE																		
228	229	maints	MAINT	MAINT	DETind		VM/DS					MAINT							MAINT																																										
229	230	souspirs	SOUPIR	SOUPIR	NOMcom		VM/DS																							SOUPIR																															
230	231	par	PAR	PAR	S		VM/DS																																				PAR																		
231	232	sanglots	SANGLOT	SANGLOT	NOMcom		VM/DS																							SANGLOT																															
232	233	sincopez	SYNCOPER	SYNCOPER	PAGe		VM/DS																												SYNCOPER																	SYNCOPER									
233	234	0	0	0	PONfbl		VM/DS																					0																																	
234	235	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
235	236	(	(	(	PONfbl		VM/DS																			(		(																																	
236	237	tout	TOUT	TOUT	S		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
237	238	ainsi	AINSI	AINSI	R		VM/DS								AINSI																											AINSI																			
238	239	qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
239	240	en	EN	EN	S		VM/DS																															EN					EN													EN					
240	241	estroite	ÉTROIT	ÉTROIT	Aq		VM/DS					ÉTROIT																																																	
241	242	fornaise	FOURNAISE	FOURNAISE	NOMcom		VM/DS																							FOURNAISE																															
242	243	On	IL	IL	PROper		VM/DS																															IL																							
243	244	voit	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
244	245	grand	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
245	246	feu	FEU	FEU	NOMcom		VM/DS					FEU																		FEU																															
246	247	sortir	SORTIR	SORTIR	Vvn		VM/DS																							SORTIR																							SORTIR								
247	248	mal	MAL	MAL	R		VM/DS					MAL																		MAL												MAL																			
248	249	à	À	À	S		VM/DS																																				À																		
249	250	son	SON	SON	DETpos		VM/DS																SON																																						
250	251	ayse	AISE	AISE	NOMcom		VM/DS					AISE/AISÉ																		AISE																															
251	252	)	)	)	PONfbl		VM/DS																			)		)																																	
252	253	Dedens	DEDANS	DEDANS	S		VM/DS																							DEDANS/DÉDAIN/DENT/ÉDEN													DEDANS												_MOT_ETRANGER						
253	254	ta	SON	SON	DETpos		VM/DS																SON																																						
254	255	bouche	BOUCHE	BOUCHE	NOMcom		VM/DS																							BOUCHE																															
255	256	ensemble	ENSEMBLE	ENSEMBLE	R		VM/DS																							ENSEMBLE												ENSEMBLE																			
256	257	s'	LE	LE	PROper		VM/DS																															LE																							
257	258	entrebattent	ENTREBATTRE	ENTREBATTRE	Vvc		VM/DS																																													ENTREBATTRE									
258	259	:	:	:	PONfbl		VM/DS																					:																																	
259	260	Voire	VOIRE	VOIRE	R		VM/DS							VOIRE																												VOIRE																			
260	261	0	0	0	PONfbl		VM/DS																					0																																	
261	262	&	ET	ET	CONcoo		VM/DS							ET																																															
262	263	de	DE	DE	S		VM/DS													UN	DU																						DE																		
263	264	sorte	SORTE	SORTE	NOMcom		VM/DS																							SORTE																															
264	265	entre	ENTRE	ENTRE	S		VM/DS																																				ENTRE																		
265	266	eux	LE	LE	PROper		VM/DS																															LE																							
266	267	ilz	IL	IL	PROper		VM/DS																															IL																							
267	268	se	LE	LE	PROper		VM/DS																															LE																							
268	269	debattent	DÉBATTRE	DÉBATTRE	Vvc		VM/DS																																													DÉBATTRE									
269	270	0	0	0	PONfbl		VM/DS																					0																																	
270	271	Qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE			QUE																			
271	272	on	IL	IL	PROper		VM/DS																															IL																							
272	273	te	LE	LE	PROper		VM/DS																															LE																							
273	274	diroit	DIRE	DIRE	Vvc		VM/DS																																													DIRE									
274	275	0	0	0	PONfbl		VM/DS																					0																																	
275	276	non	NON	NON	R		VM/DS																																			NON																			
276	277	en	EN	EN	S		VM/DS																															EN					EN													EN					
277	278	le	LE	LE	DETdef		VM/DS										LE																					LE																							
278	279	recitant	RÉCITER	RÉCITER	PAGa		VM/DS																							RÉCITANT				RÉCITER																											
279	280	0	0	0	PONfbl		VM/DS																					0																																	
280	281	Mais	MAIS	MAIS	CONcoo		VM/DS							MAIS																MAI/MAÏS																															
281	282	à	À	À	S		VM/DS																																				À																		
282	283	te	LE	LE	PROper		VM/DS																															LE																							
283	284	voir	VOIR	VOIR	Vvn		VM/DS																																														VOIR								
284	285	0	0	0	PONfbl		VM/DS																					0																																	
285	286	quelque	QUELQUE	QUELQUE	DETind		VM/DS					QUELQUE							QUELQUE																																										
286	287	febricitant	FÉBRICITANT	FÉBRICITANT	NOMcom		VM/DS																							FÉBRICITANT																									_MOT_ETRANGER						
287	288	0	0	0	PONfbl		VM/DS																					0																																	
288	289	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
289	290	à	À	À	S		VM/DS																																				À																		
290	291	sa	SON	SON	DETpos		VM/DS																SON																																						
291	292	fin	FIN	FIN	NOMcom		VM/DS																							FIN																															
292	293	douloureusement	DOULOUREUSEMENT	DOULOUREUSEMENT	R		VM/DS																																			DOULOUREUSEMENT																			
293	294	tire	TIRER	TIRER	Vvc		VM/DS																							TIRE/TIRÉ																						TIRER									
294	295	.	.	.	PONfrt		VM/DS																				.																																		
295	296	*PHILERME	PHILERME	PHILERME	NOMpro		VM/DS																								PHILERME																														
296	297	O	Ô	Ô	INT		VM/DS																						Ô																																
297	298	fortuné	FORTUNÉ	FORTUNÉ	Aq		VM/DS					FORTUNÉ																																																	
298	299	0	0	0	PONfbl		VM/DS																					0																																	
299	300	&	ET	ET	CONcoo		VM/DS							ET																																															
300	301	bienheureux	BIENHEUREUX	BIENHEUREUX	Aq		VM/DS					BIENHEUREUX																																																	
301	302	*Antire	ANTIRE	ANTIRE	NOMpro		VM/DS																								ANTIRE																														
302	303	0	0	0	PONfbl		VM/DS																					0																																	
303	304	Depuis	DEPUIS	DEPUIS	S		VM/DS																																				DEPUIS																		
304	305	*Doris	DORIS	DORIS	NOMpro		VM/DS																								DORIS																														
305	306	0	0	0	PONfbl		VM/DS																					0																																	
306	307	ma	SON	SON	DETpos		VM/DS																SON																																						
307	308	premiere	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER/PREMIÈRE																														PREMIER	
308	309	liesse	LIESSE	LIESSE	NOMcom		VM/DS																							LIESSE																															
309	310	0	0	0	PONfbl		VM/DS																					0																																	
310	311	Ou	QUE	QUE	PROrel		VM/DS							OU																									QUE			OU																			
311	312	je	IL	IL	PROper		VM/DS																															IL																							
312	313	passay	PASSER	PASSER	Vvc		VM/DS																																													PASSER									
313	314	sans	SANS	SANS	S		VM/DS																																				SANS																		
314	315	ennuy	ENNUI	ENNUI	NOMcom		VM/DS																							ENNUI																															
315	316	ma	SON	SON	DETpos		VM/DS																SON																																						
316	317	jeunesse	JEUNESSE	JEUNESSE	NOMcom		VM/DS																							JEUNESSE																															
317	318	0	0	0	PONfbl		VM/DS																					0																																	
318	319	Je	IL	IL	PROper		VM/DS																															IL																							
319	320	me	LE	LE	PROper		VM/DS																															LE																							
320	321	perdis	PERDRE	PERDRE	Vvc		VM/DS																																													PERDRE									
321	322	en	EN	EN	S		VM/DS																															EN					EN													EN					
322	323	ceste	CE	CE	DETdem		VM/DS											CE												CESTE																															
323	324	autre	AUTRE	AUTRE	ADJind		VM/DS			AUTRE		AUTRE																																																	
324	325	Belline	BELLINE	BELLINE	NOMpro		VM/DS																							BERLINE/BAILLI	BELLINE																														
325	326	0	0	0	PONfbl		VM/DS																					0																																	
326	327	A	À	À	S		VM/DS																																				À																		
327	328	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
328	329	mon	SON	SON	DETpos		VM/DS																SON																																						
329	330	ame	ÂME	ÂME	NOMcom		VM/DS																							ÂME																															
330	331	0	0	0	PONfbl		VM/DS																					0																																	
331	332	&	ET	ET	CONcoo		VM/DS							ET																																															
332	333	ma	SON	SON	DETpos		VM/DS																SON																																						
333	334	vie	VIE	VIE	NOMcom		VM/DS																							VIE																															
334	335	s'	LE	LE	PROper		VM/DS																															LE																							
335	336	incline	INCLINER	INCLINER	Vvc		VM/DS																																													INCLINER									
336	337	0	0	0	PONfbl		VM/DS																					0																																	
337	338	M'	LE	LE	PROper		VM/DS																															LE																							
338	339	asservissant	ASSERVIR	ASSERVIR	PAGa		VM/DS					ASSERVISSANT																						ASSERVIR																											
339	340	soubs	SOUS	SOUS	S		VM/DS																																				SOUS																		
340	341	celle	CE	CE	DETdem		VM/DS											CE																		CELUI																									
341	342	grand'	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
342	343	beauté	BEAUTÉ	BEAUTÉ	NOMcom		VM/DS																							BEAUTÉ																															
343	344	0	0	0	PONfbl		VM/DS																					0																																	
344	345	Qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
345	346	cele	CELER	CELER	Vvc		VM/DS																												CELER	CELUI																CELER									
346	347	en	EN	EN	S		VM/DS																															EN					EN													EN					
347	348	soy	LE	LE	PROper		VM/DS																															LE																							
348	349	la	LE	LE	DETdef		VM/DS										LE																					LE																							
349	350	douce	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
350	351	cruauté	CRUAUTÉ	CRUAUTÉ	NOMcom		VM/DS																							CRUAUTÉ																															
351	352	0	0	0	PONfbl		VM/DS																					0																																	
352	353	Ou	QUE	QUE	PROrel		VM/DS							OU																									QUE			OU																			
353	354	me	LE	LE	PROper		VM/DS																															LE																							
354	355	nourrit	NOURRIR	NOURRIR	Vvc		VM/DS																																													NOURRIR									
355	356	ce	CE	CE	DETdem		VM/DS											CE																				CE																							
356	357	jeune	JEUNE	JEUNE	Aq		VM/DS					JEUNE																																																	
357	358	Enfant	ENFANT	ENFANT	NOMcom		VM/DS																							ENFANT																															
358	359	aveugle	AVEUGLE	AVEUGLE	Aq		VM/DS					AVEUGLE																		AVEUGLE																															
